grade_id,student_id,course_id,cia1,cia2,cia3,cia4,total_marks,credits,status,remark,grading_date
1,7001,CS101,22,24,23,25,94,4,Pass,Excellent performance,2024-01-20
2,7002,CS101,20,22,21,23,86,4,Pass,Very good performance,2024-01-20
3,7003,CS101,18,19,20,21,78,4,Pass,Good performance,2024-01-20
4,7004,CS101,21,22,23,24,90,4,Pass,Very good performance,2024-01-20
5,7005,CS101,19,20,21,22,82,4,Pass,Good performance,2024-01-20
6,7006,CS101,23,24,25,25,97,4,Pass,Excellent performance,2024-01-20
7,7007,CS101,17,18,19,20,74,4,Pass,Satisfactory performance,2024-01-20
8,7008,CS101,22,23,24,24,93,4,Pass,Excellent performance,2024-01-20
9,7009,CS101,20,21,22,23,86,4,Pass,Very good performance,2024-01-20
10,7010,CS101,18,19,20,21,78,4,Pass,Good performance,2024-01-20
11,7001,CS102,21,22,23,24,90,4,Pass,Very good performance,2024-01-21
12,7002,CS102,19,20,21,22,82,4,Pass,Good performance,2024-01-21
13,7003,CS102,20,21,22,23,86,4,Pass,Very good performance,2024-01-21
14,7004,CS102,18,19,20,21,78,4,Pass,Good performance,2024-01-21
15,7005,CS102,22,23,24,24,93,4,Pass,Excellent performance,2024-01-21
16,7006,CS102,20,21,22,23,86,4,Pass,Very good performance,2024-01-21
17,7007,CS102,21,22,23,24,90,4,Pass,Very good performance,2024-01-21
18,7008,CS102,19,20,21,22,82,4,Pass,Good performance,2024-01-21
19,7009,CS102,23,24,25,25,97,4,Pass,Excellent performance,2024-01-21
20,7010,CS102,20,21,22,23,86,4,Pass,Very good performance,2024-01-21 